fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,169,TECHNICAL MEETING COSTS,36600,36600,36600
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,181,MOBILE COMM SERVICES,1718660,1718660,2521612
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,186,PAGERS,8700,8700,8700
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,190,TELEPHONE-CENTREX,215000,215000,454000
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,196,DATA CIRCUITS,960320,960320,900000
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,197,TELEPHONE-MAINTENANCE,18000,18000,16505
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,245,REIMBURSEMENT TRAVELERS,3500,3500,3500
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,270,LOCAL TRANSPORTATION,2500,2500,2500
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,340,MATERIAL AND SUPPLIES,17300,17300,17300
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,348,BOOKS AND RELATED MTL,3000,3000,3000
LOCAL,100,CORPORATE FUND,6,DOIT,2005,DOIT,350,STATIONERY AND OFFICE SUPPL,7500,7500,7500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,6295022,6295022,6299719
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,17,CITY COUNCIL-SALARY INC,8824000,8824000,8824000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,39,STUDENT AS TRAINEES,140000,140000,140000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,181,MOBILE COMM SERVICES,1400,1400,1350
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,190,TELEPHONE-CENTREX,68000,68000,66000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,197,TELEPHONE-MAINTENANCE,6000,6000,2800
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,245,REIMBURSEMENT TRAVELERS,6000,6000,1000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,700,CONTINGENCIES,43000,43000,43000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,982,EXP FOR HEROSIM,1000,1000,1000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9001,TEXT FILE - EXTRA LONG,1326000,1326000,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9008,TEXT FILE - EXTRA LONG,3664000,3664000,4700000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9010,TEXT FILE - EXTRA LONG,92072,92072,92072
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9072,TEXT FILE - EXTRA LONG,4000,4000,4000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,5,SALARIES AND WAGES - ON PAYROLL,1720868,1720868,1731752
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,130,POSTAGE,16000,16000,16000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,140,PROF & TECHNICAL SERVICES,12500,12500,12500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,143,COURT REPORTING,20000,20000,20000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,157,RENTAL EQUIPMENT AND SERVICES,65000,65000,65000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,166,"DUES, SUBSC & MEM",2000,2000,2000
