fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation,revised_appropriation,recommendation
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,MATERIAL AND SUPPLIES,484,484,310
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0348,BOOKS AND RELATED MATERIAL,85,85,217
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,STATIONERY AND OFFICE SUPPLIES,1421,1421,1179
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,CONTINGENCIES,1725,1725,1725
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,SALARIES AND WAGES - ON PAYROLL,194795,194795,203572
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,SCHEDULE SALARY ADJUSTMENTS,1953,1953,495
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,POSTAGE,78,78,78
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0138,IT MAINTENANCE,2036,2036,0
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,PROFESSIONAL AND TECHNICAL SERVICES,847,847,847
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,COURT REPORTING,6538,6538,6538
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,SOFTWARE MAINTENANCE AND LICENSING,5489,5489,8561
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,RENTAL EQUIPMENT AND SERVICES,4025,4025,3876
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,LEASE/PURCHASE EQUIPMENT,254,254,254
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,DUES  SUBSC & MEM,499,499,480
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,TECHNICAL MEETING COSTS,3678,3678,2493
