fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,15,SCHEDULE SALARY ADJ,11555,11555,9500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,39,STUDENT AS TRAINEES,10000,10000,10000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,154,RENTAL-DATA HARDWARE EQ,20126,20126,10000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,190,TELEPHONE-CENTREX,14000,14000,18000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,350,STATIONERY AND OFFICE SUPPL,20660,20660,20000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,181,MOBILE COMM SERVICES,23630,23630,23170
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,340,MATERIAL AND SUPPLIES,22342,22342,26314
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,149,SOFTWARE MAINT/LICENSING,36400,36400,35000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,20,OVERTIME,30000,30000,36400
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,157,RENTAL EQUIPMENT AND SERVICES,44553,44553,42000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,162,REPAIR/MAINT EQUIPMENT,151024,151024,68912
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,140,PROF & TECHNICAL SERVICES,288836,288836,152486
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,144,ENGINEERING AND ARCH,676861,676861,376861
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,5,SALARIES AND WAGES - ON PAYROLL,4838597,4838597,5966229
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-148022,-148022,0
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,179,MESSENGER SERVICES,500,500,500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,270,LOCAL TRANSPORTATION,500,500,500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,313,CLEANING AND SAN SUPPLY,0,0,883
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,245,REIMBURSEMENT TRAVELERS,4413,4413,1000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,348,BOOKS AND RELATED MTL,5046,5046,1045
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,126,OFFICE CONVENIENCES,1820,1820,1820
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,154,RENTAL-DATA HARDWARE EQ,2000,2000,2000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,370,TOOLS < $ 10.00/UNIT,0,0,2300
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,9438,REIMBURSEMENT - DGS,3000,3000,3000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,173,EQUIPMENT,21260,21260,6260
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,196,DATA CIRCUITS,6650,6650,6500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,197,TELEPHONE-MAINTENANCE,10000,10000,7500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,20,OVERTIME,8663,8663,8663
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,152,ADVERTISING,9000,9000,9000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,188,VEHICLE TRACKING SERVICE,9301,9301,9301
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,150,PUBLICATN & REPRODT-OUT,22295,22295,12295
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,160,REPAIR/MAINT PROPERTY,27965,27965,12505
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,350,STATIONERY AND OFFICE SUPPL,15196,15196,15196
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,12,CONTRACT WAGE-PR,0,0,15341
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,319,CLOTHING,16000,16000,17300
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,190,TELEPHONE-CENTREX,33000,33000,30000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,15,SCHEDULE SALARY ADJ,36181,36181,32795
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,39,STUDENT AS TRAINEES,33920,33920,33920
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,362,PAINT/PAINTING SUPPLIES,0,0,40000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,130,POSTAGE,52717,52717,52717
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,181,MOBILE COMM SERVICES,75210,75210,62320
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,140,PROF & TECHNICAL SERVICES,260893,260893,75000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,79147,79147,79147
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,229,TRAN/EXP ALLOWANCE,134134,134134,134134
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,323560,323560,232260
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,149,SOFTWARE MAINT/LICENSING,369634,369634,278634
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,340,MATERIAL AND SUPPLIES,80465,80465,601422
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,4976033,4976033,6245101
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-302357,-302357,0
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,166,DUES  SUBSC & MEM,1150,1150,0
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,169,TECHNICAL MEETING COSTS,4000,4000,0
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,270,LOCAL TRANSPORTATION,0,0,325
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,178,FREIGHT/EXPENSE CHARGES,0,0,450
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,130,POSTAGE,0,0,500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,149,SOFTWARE MAINT/LICENSING,0,0,1000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,348,BOOKS AND RELATED MTL,0,0,1300
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,166,DUES  SUBSC & MEM,0,0,1800
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,229,TRAN/EXP ALLOWANCE,0,0,1875
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,169,TECHNICAL MEETING COSTS,0,0,2000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,340,MATERIAL AND SUPPLIES,0,0,3000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,39,STUDENT AS TRAINEES,0,0,5000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,350,STATIONERY AND OFFICE SUPPL,0,0,5000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,139,PROF SERV-IT DEVELOPMENT,0,0,10000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,138,PROF SERV-IT MAINT,0,0,25000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,140,PROF & TECHNICAL SERVICES,0,0,434000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,5,SALARIES AND WAGES - ON PAYROLL,0,0,650547
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,423,COMMUNICATION DEVICES,0,0,700
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,362,PAINT/PAINTING SUPPLIES,0,0,1000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,440,MACHINERY AND EQUIPMENT,0,0,3750
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,360,REPAIR PARTS AND MATERIAL,0,0,6500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,159,LEASE PURCHASE AGREEMNT,0,0,6860
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,319,CLOTHING,0,0,9800
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,350,STATIONERY AND OFFICE SUPPL,0,0,13250
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,188,VEHICLE TRACKING SERVICE,0,0,13255
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,162,REPAIR/MAINT EQUIPMENT,0,0,16339
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,181,MOBILE COMM SERVICES,0,0,24080
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,345,APPARATUS AND INSTRUMENTS,0,0,30000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,229,TRAN/EXP ALLOWANCE,0,0,107560
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,0,0,117495
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,12,CONTRACT WAGE-PR,0,0,155545
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,20,OVERTIME,0,0,208810
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,365,ELECTRICAL SUPPLIES,0,0,327000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,340,MATERIAL AND SUPPLIES,0,0,363500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,140,PROF & TECHNICAL SERVICES,0,0,1032900
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,0,0,11400495
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,169,TECHNICAL MEETING COSTS,1000,1000,100
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,348,BOOKS AND RELATED MTL,500,500,250
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,130,POSTAGE,600,600,250
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,245,REIMBURSEMENT TRAVELERS,500,500,500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,150,PUBLICATN & REPRODT-OUT,750,750,500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,345,APPARATUS AND INSTRUMENTS,1600,1600,600
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,313,CLEANING AND SAN SUPPLY,1000,1000,1000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,314,FUEL OIL,2500,2500,1500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,319,CLOTHING,1850,1850,1850
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,197,TELEPHONE-MAINTENANCE,2800,2800,2800
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,440,MACHINERY AND EQUIPMENT,4815,4815,2815
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,140,PROF & TECHNICAL SERVICES,14852,14852,8460
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,229,TRAN/EXP ALLOWANCE,14425,14425,14425
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,316,GAS-BOTTLED AND PROPANE,24500,24500,14500
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,15,SCHEDULE SALARY ADJ,22042,22042,29038
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,350,STATIONERY AND OFFICE SUPPL,38864,38864,30000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,9438,REIMBURSEMENT - DGS,33000,33000,33000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,9481,REIMBURSEMENT - DSS,43300,43300,35000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,162,REPAIR/MAINT EQUIPMENT,64481,64481,36631
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,190,TELEPHONE-CENTREX,42000,42000,39000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,160,REPAIR/MAINT PROPERTY,67891,67891,42891
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,40,ADJ SAL-PER DIEM-PREV R,51407,51407,51407
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,9064,MAINTENANCE STREET PAVE,125000,125000,75000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,185,WASTE DISPOSAL SERV,157681,157681,107681
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,12,CONTRACT WAGE-PR,223821,223821,163407
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,188,VEHICLE TRACKING SERVICE,167160,167160,167160
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,181,MOBILE COMM SERVICES,202890,202890,211620
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,20,OVERTIME,280000,280000,280000
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,157,RENTAL EQUIPMENT AND SERVICES,31168,31168,286587
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,340,MATERIAL AND SUPPLIES,645650,645650,828870
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,5,SALARIES AND WAGES - ON PAYROLL,15120224,15120224,15587418
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-609270,-609270,0
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,931,TORT/NON-TORT JUDGMENT,12391,12391,20000
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,70,TUITION REIMBURSEMENT,20000,20000,20000
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,9027,SOCIAL SECURITY TAX,24162,24162,24162
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,989,REFUND CANCELLED VOUCHR,100000,100000,100000
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,121,INVESTIGATION COSTS FIN,110000,110000,110000
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,45,PREM TERM LIFE INSURANC,102928,102928,130969
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,196,DATA CIRCUITS,147769,147769,145849
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,142,ACCOUNTING AND AUDITING,125000,125000,150000
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,934,CLAIMS AGAINST THE CITY,400000,400000,375000
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,51,UNEMPLY INSURANCE CLAIM,402496,402496,402496
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,56,PREM DENTAL PLAN,382735,382735,438424
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,138,PROF SERV-IT MAINT,794249,794249,802506
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,1024803,1024803,1024803
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,991,MATCHING & SUPP-BUDG DR,1320698,1320698,1320698
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,140,PROF & TECHNICAL SERVICES,1956760,1956760,2052234
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,29,HMO PREMIUMS,3474429,3474429,3513540
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,52,CLAIMS MED CARE-ANN/DEP,3880654,3880654,3761151
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,9610,FOR REIMB PROV PENSION,4919000,4919000,5307985
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,49,WORKER'S COMPENSATION,7425000,7425000,6684500
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,7483503,7483503,7685761
LOCAL,300,VEHICLE FUND,99,FINANCE GENERAL,2005,2005 - FINANCE GENERAL,9633,FOR REIMB-MUNICIPAL SEV,15389000,15389000,15087000
LOCAL,310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MANAGEMENT,2121,2121 - ARCH  CONSTRUCTION  ENERGY,140,PROF & TECHNICAL SERVICES,50000,50000,0
LOCAL,310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MANAGEMENT,2121,2121 - ARCH  CONSTRUCTION  ENERGY,184,ELECTRICITY,12085000,12085000,0
LOCAL,310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MANAGEMENT,2131,2131 - BUREAU OF ASSET MANAGEMENT,140,PROF & TECHNICAL SERVICES,0,0,50000
LOCAL,310,MOTOR FUEL TAX FUND,38,FLEET AND FACILITY MANAGEMENT,2131,2131 - BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,0,0,12085000
LOCAL,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,2047 - SNOW AND ICE REMOVAL,350,STATIONERY AND OFFICE SUPPL,7000,7000,7000
LOCAL,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,2047 - SNOW AND ICE REMOVAL,162,REPAIR/MAINT EQUIPMENT,145500,145500,45000
LOCAL,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,2047 - SNOW AND ICE REMOVAL,188,VEHICLE TRACKING SERVICE,185000,185000,208550
LOCAL,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,2047 - SNOW AND ICE REMOVAL,157,RENTAL EQUIPMENT AND SERVICES,414000,414000,260500
LOCAL,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,2047 - SNOW AND ICE REMOVAL,140,PROF & TECHNICAL SERVICES,1060000,1060000,1050000
LOCAL,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,2047 - SNOW AND ICE REMOVAL,9481,REIMBURSEMENT - DSS,0,0,3100000
LOCAL,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,2047 - SNOW AND ICE REMOVAL,9438,REIMBURSEMENT - DGS,60000,60000,3560000
LOCAL,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,2047 - SNOW AND ICE REMOVAL,340,MATERIAL AND SUPPLIES,9462070,9462070,12119500
LOCAL,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,2047 - SNOW AND ICE REMOVAL,9440,REIMBURSEMENT - FLEET,3500000,3500000,0
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,319,CLOTHING,1757,1757,2034
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,229,TRAN/EXP ALLOWANCE,42000,42000,42000
LOCAL,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,360,REPAIR PARTS AND MATERIAL,284000,284000,273000
