fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,245,REIMBURSEMENT TRAVELERS,6000,6000,6000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,197,TELEPHONE-MAINTENANCE,6500,6500,6500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,700,CONTINGENCIES,48000,43000,43000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,190,TELEPHONE-CENTREX,85000,85000,85000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,9010,TEXT FILE - EXTRA LONG,107072,92072,92072
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,39,STUDENT AS TRAINEES,140000,140000,140000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,9001,TEXT FILE - EXTRA LONG,1326000,1326000,1326000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,9008,TEXT FILE - EXTRA LONG,3664000,3664000,3664000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,6106997,6106997,6248401
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,17,CITY COUNCIL-SALARY INC,8824200,8824200,8824200
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-870881,-870881,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2005,2005 - CITY COUNCIL,9071,CONTINGENT-VICE-MAYOR,114232,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,700,CONTINGENCIES,100,100,100
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,166,DUES  SUBSC & MEM,2000,2000,2000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,169,TECHNICAL MEETING COSTS,5000,2500,2500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,348,BOOKS AND RELATED MTL,3000,3000,3000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,340,MATERIAL AND SUPPLIES,3500,3500,3500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,197,TELEPHONE-MAINTENANCE,4800,4800,4800
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,229,TRAN/EXP ALLOWANCE,10000,8000,8000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,140,PROF & TECHNICAL SERVICES,20000,12500,12500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,130,POSTAGE,20000,16000,16000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,143,COURT REPORTING,20000,20000,20000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,190,TELEPHONE-CENTREX,23000,23000,23000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,350,STATIONERY AND OFFICE SUPPL,45000,45000,45000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,9006,LEGAL ASSISTANCE FINANC,50000,50000,50000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,9005,LEGAL FEES COMT FINANCE,100000,50000,50000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,157,RENTAL EQUIPMENT AND SERVICES,65000,65000,65000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,9010,TEXT FILE - EXTRA LONG,100000,92500,92500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,5,SALARIES AND WAGES - ON PAYROLL,1672704,1637704,1698740
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,-92523,-92523,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,176,MAINTN & OPERTN-CY VEHL,1500,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2010,2010 - COMMITTEE ON FINANCE,9073,CONTINGENT-COM FINANCE,50000,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2015,2015 - LEGISLATIVE INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,100000,60000,60000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2214,2214 - COMMITTEE ON BUDGET/GOVNTL OPS,400,EQUIPMENT,9500,9500,9500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2214,2214 - COMMITTEE ON BUDGET/GOVNTL OPS,300,COMMODITIES AND MATERIALS,12000,12000,12000
