fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation,revised_appropriation,recommendation
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0350,STATIONERY AND OFFICE SUPPLIES,1225.00,1225.00,863.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,0700,CONTINGENCIES,1725.00,1725.00,1725.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,SALARIES AND WAGES - ON PAYROLL,220356.00,220356.00,221300.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,SCHEDULE SALARY ADJUSTMENTS,2156.00,2156.00,9322.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,POSTAGE,58.00,58.00,51.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,PROFESSIONAL AND TECHNICAL SERVICES,847.00,847.00,827.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,COURT REPORTING,6538.00,6538.00,6538.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,SOFTWARE MAINTENANCE AND LICENSING,13883.00,13883.00,14006.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,RENTAL EQUIPMENT AND SERVICES,3876.00,3876.00,5015.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0159,LEASE/PURCHASE EQUIPMENT,254.00,254.00,254.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0166,DUES  SUBSC & MEM,643.00,643.00,820.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0169,TECHNICAL MEETING COSTS,4800.00,4800.00,6358.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0181,MOBILE COMMUNICATION SERVICES,1071.00,1071.00,816.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0189,TELEPHONE - NON-CENTREX BILLINGS,1552.00,1552.00,1969.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0245,REIMBURSEMENT TO TRAVELERS,416.00,416.00,895.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0270,LOCAL TRANSPORTATION,170.00,170.00,130.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0320,GASOLINE,257.00,257.00,259.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,0340,MATERIAL AND SUPPLIES,135.00,135.00,105.00
