fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation_ordinance
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,PREM DENTAL PLAN,236199
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,70,TUITION REIMBURSEMENT,25000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,121,INVESTIGATION COSTS FIN,100000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,PROF SERV-IT MAINT,236265
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROF & TECHNICAL SERVICES,39480
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,142,ACCOUNTING AND AUDITING,150000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,196,DATA CIRCUITS,91200
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,903,INT WASTEWATER TRANSM R,66514000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,910,REDEMPTION WASTEWATER R,30965000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,934,CLAIMS AGAINST THE CITY,15000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,953,CLAIMS SEWER FUND,500000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9027,SOCIAL SECURITY TAX,14068
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,596678
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9097,CAPITAL CONSTRUCTION,43629993
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9165,OUTSOURCING-DATA CENTER,66074
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9376,TRANSFERS TO SEWER RATE STABILIZATION,5000000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9610,FOR REIMB PROV PENSION,4885823
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9617,FOR REIMB-EXP-SEWER FD,25964400
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9710,FOR REIMB-WATER FUND,7500000
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,125,OFF AND BUILDING SERV,1000000
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,140,PROF & TECHNICAL SERVICES,1101934
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,160,REPAIR/MAINT PROPERTY,300000
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,290000
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,340,MATERIAL AND SUPPLIES,330000
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,1650066
Local,342,LIB F BUILDING/SITE,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,162,REPAIR/MAINT EQUIPMENT,423000
Local,342,LIB F BUILDING/SITE,99,FINANCE GENERAL,2005,FINANCE GENERAL,955,INTER ON DAILY T NOTES,166000
Local,346,LIB F MAINT/OPERATN,6,DOIT,2005,DOIT,5,SALARIES AND WAGES - ON PAYROLL,1186606
Local,346,LIB F MAINT/OPERATN,6,DOIT,2005,DOIT,15,SCHEDULE SALARY ADJ,2070
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,1332411
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,12,CONTRACT WAGE-PR,11893
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,20,OVERTIME,10000
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,91,UNIFORM ALLOWANCE,6500
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,125,OFF AND BUILDING SERV,2000000
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,140,PROF & TECHNICAL SERVICES,1621368
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,229,TRAN/EXP ALLOWANCE,2000
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SAN SUPPLY,318000
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2126,BUREAU OF FACILITY MANAGEMENT,340,MATERIAL AND SUPPLIES,65000
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,270514
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MGMT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,3261461
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,5,SALARIES AND WAGES - ON PAYROLL,46863335
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,12,CONTRACT WAGE-PR,5780
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,15,SCHEDULE SALARY ADJ,292719
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,20,OVERTIME,100000
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,123,HONORARIUMS/PERFORMANCE,8487
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,130,POSTAGE,84600
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,140,PROF & TECHNICAL SERVICES,131484
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,149,SOFTWARE MAINT/LICENSING,432441
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,152,ADVERTISING,64380
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,154,RENTAL-DATA HARDWARE EQ,209972
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,157,RENTAL EQUIPMENT AND SERVICES,120008
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,164,BOOKBINDING,56612
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,165,GRAPHIC DESIGN SERV,14540
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,166,DUES  SUBSC & MEM,201750
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,168,EDUCATION DEVELOPMENT,53880
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,178,FREIGHT/EXPENSE CHARGES,5334
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,181,MOBILE COMM SERVICES,14000
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,189,TELEPHONE NON-CENTREX,16700
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,190,TELEPHONE-CENTREX,340000
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,191,TELEPHONE-RELOCATIONS,9100
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,196,DATA CIRCUITS,710000
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,197,TELEPHONE-MAINTENANCE,110000
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,340,MATERIAL AND SUPPLIES,37988
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,350,STATIONERY AND OFFICE SUPPL,516370
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,361,BUILDING MATERIAL SUPPL,1312
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,365,ELECTRICAL SUPPLIES,1220
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,9438,REIMBURSEMENT - 2FM,162582
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,2718022
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,5979092
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANC,83885
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKER'S COMPENSATION,423000
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,51,UNEMPLY INSURANCE CLAIM,308624
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,CLAIMS MED CARE-ANN/DEP,2535729
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,PREM DENTAL PLAN,353479
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,70,TUITION REIMBURSEMENT,85000
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROF & TECHNICAL SERVICES,958677
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,142,ACCOUNTING AND AUDITING,110000
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,955,INTER ON DAILY T NOTES,2488000
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,9027,SOCIAL SECURITY TAX,20586
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,873105
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,9112,PROP. MAINT. CNTRL LIBR,6999186
Local,346,LIB F MAINT/OPERATN,99,FINANCE GENERAL,2005,FINANCE GENERAL,9165,OUTSOURCING-DATA CENTER,120198
Local,353,EMERGENCY COMMUN FD,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROF & TECHNICAL SERVICES,500000
Local,353,EMERGENCY COMMUN FD,99,FINANCE GENERAL,2005,FINANCE GENERAL,9639,OPERATION OF OEMC,66186000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,450945
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,15,CITY COUNCIL,2155,COMM ON SP EVENTS/CULT AFF/REC,0,PERSONNEL SERVICES,140326
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,15,CITY COUNCIL,2155,COMM ON SP EVENTS/CULT AFF/REC,100,CONTRACTUAL SERVICES,10394
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,15,CITY COUNCIL,2155,COMM ON SP EVENTS/CULT AFF/REC,300,COMMODITIES AND MATERIALS,2000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,15,CITY COUNCIL,2155,COMM ON SP EVENTS/CULT AFF/REC,700,CONTINGENCIES,2000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,5,SALARIES AND WAGES - ON PAYROLL,6149067
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,15,SCHEDULE SALARY ADJ,34360
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,39,STUDENT AS TRAINEES,43000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,123,HONORARIUMS/PERFORMANCE,781500
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,125,OFF AND BUILDING SERV,25000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,130,POSTAGE,102500
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,135,DELEGATE AGENCIES,500000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,138,PROF SERV-IT MAINT,80000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,140,PROF & TECHNICAL SERVICES,2717000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,PREM DENTAL PLAN,28286
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,150,PUBLICATN & REPRODT-OUT,155000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,152,ADVERTISING,110000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,153,PROMOTIONS,12000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,159,LEASE PURCHASE AGREEMNT,65500
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,161,MAINT FACILITIES,267500
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,166,DUES  SUBSC & MEM,57000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,172,INSURANCE PREMIUMS,393000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,181,MOBILE COMM SERVICES,40000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,189,TELEPHONE NON-CENTREX,40000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,190,TELEPHONE-CENTREX,109000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,191,TELEPHONE-RELOCATIONS,25000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,197,TELEPHONE-MAINTENANCE,22000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,229,TRAN/EXP ALLOWANCE,6500
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,245,REIMBURSEMENT TRAVELERS,6000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,340,MATERIAL AND SUPPLIES,50000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,350,STATIONERY AND OFFICE SUPPL,45000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,900,SPECIFIC PURPOSE-FINANC,75000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9188,MILLENNIUM PARK OPERATIONS,6195000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9219,IMPLEMENTATION OF CULTURAL PLAN,1000000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9288,MILLENNIUM PARK PROGRAMMING,190000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9438,REIMBURSEMENT - 2FM,360000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9441,REIMBURSEMENT - CDPH,15000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9457,REIMBURSEMENT - CPD,850000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9458,REIMBURSEMENT - OEMC,350000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9459,REIMBURSEMENT - FIRE,100000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9481,REIMBURSEMENT - DSS,103000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9803,FOR PROGRAMMING/MARKETG,1575000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9805,FOR FESTIVAL PRODUCTION,6115000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9807,FOR REDEMPTION EXPENSES,2044000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9811,SPORT DEVLP ACTIVITIES,41000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,23,CULTURAL AFFAIRS SPECIAL EVENT,2015,CULTURAL AFFAIRS SPECIAL EVENT,9813,LOCAL PROMOTION/MARKETG,1133000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,316950
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,478110
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANC,6707
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKER'S COMPENSATION,5000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,51,UNEMPLY INSURANCE CLAIM,30982
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,CLAIMS MED CARE-ANN/DEP,202748
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROF & TECHNICAL SERVICES,4069393
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,991,MATCHING & SUPP-BUDG DR,118000
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,9027,SOCIAL SECURITY TAX,2066
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,87648
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,9124,SISTER CITIES PROGRAM,528643
Local,355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,99,FINANCE GENERAL,2005,FINANCE GENERAL,9610,FOR REIMB PROV PENSION,742875
Local,505,SALES TAX BOND,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON FIRST LIEN BONDS,26687000
Local,505,SALES TAX BOND,99,FINANCE GENERAL,2005,FINANCE GENERAL,912,PAYMENT OF BONDS,11875000
Local,510,BOND REDMPTN/IN F,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON FIRST LIEN BONDS,359523000
Local,510,BOND REDMPTN/IN F,99,FINANCE GENERAL,2005,FINANCE GENERAL,912,PAYMENT OF BONDS,156725600
Local,510,BOND REDMPTN/IN F,99,FINANCE GENERAL,2005,FINANCE GENERAL,960,LOSS IN COLL OF TAXES,14819400
Local,516,LIBRARY BOND REDEMPTION,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON FIRST LIEN BONDS,2783000
Local,516,LIBRARY BOND REDEMPTION,99,FINANCE GENERAL,2005,FINANCE GENERAL,912,PAYMENT OF BONDS,1385000
Local,516,LIBRARY BOND REDEMPTION,99,FINANCE GENERAL,2005,FINANCE GENERAL,960,LOSS IN COLL OF TAXES,172000
Local,521,LIB NOTE RED/INT-B,99,FINANCE GENERAL,2005,FINANCE GENERAL,960,LOSS IN COLL OF TAXES,2968000
Local,521,LIB NOTE RED/INT-B,99,FINANCE GENERAL,2005,FINANCE GENERAL,961,PAYMENT TERM NOTES,72263000
Local,525,EMERGENCY COMMUN BD,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON FIRST LIEN BONDS,9284000
Local,525,EMERGENCY COMMUN BD,99,FINANCE GENERAL,2005,FINANCE GENERAL,912,PAYMENT OF BONDS,13040000
Local,549,CITY COL RED/INT-D,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON FIRST LIEN BONDS,20835000
Local,549,CITY COL RED/INT-D,99,FINANCE GENERAL,2005,FINANCE GENERAL,912,PAYMENT OF BONDS,14334000
Local,549,CITY COL RED/INT-D,99,FINANCE GENERAL,2005,FINANCE GENERAL,960,LOSS IN COLL OF TAXES,1463000
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2011,CITY COMPTROLLER,140,PROF & TECHNICAL SERVICES,6552
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,5,SALARIES AND WAGES - ON PAYROLL,357517
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,15,SCHEDULE SALARY ADJ,5103
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,20,OVERTIME,1500
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,39,STUDENT AS TRAINEES,5000
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,130,POSTAGE,1500
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,140,PROF & TECHNICAL SERVICES,15000
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,166,DUES  SUBSC & MEM,500
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,169,TECHNICAL MEETING COSTS,500
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,245,REIMBURSEMENT TRAVELERS,500
Local,610,MIDWAY AIRPORT FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,270,LOCAL TRANSPORTATION,500
