fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,140,For Professional and Technical Services and Other Third Party Benefit Agreements,40442.00,40442.00,47352.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,149,For Software Maintenance and Licensing,13457.00,13457.00,13457.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,154,For the Rental and Maintenance of Data Processing  Office Automation and Data Communications Hardware,10031.00,10031.00,10031.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,157,Rental of Equipment and Services,21334.00,21334.00,21334.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,159,Lease Purchase Agreements for Equipment and Machinery,2437.00,2437.00,2437.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,162,Repair/Maintenance of Equipment,132.00,132.00,1632.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,166,Dues  Subscriptions and Memberships,2725.00,2725.00,5093.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,169,Technical Meeting Costs,7854.00,7854.00,7854.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,181,Mobile Communication Services,4501.00,4501.00,4501.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,189,Telephone - Non-Centrex Billings,14062.00,14062.00,14062.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,245,Reimbursement to Travelers,558.00,558.00,558.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,270,Local Transportation,1615.00,1615.00,1615.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,320,Gasoline,1132.00,1132.00,1132.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,340,Material and Supplies,1608.00,1608.00,1608.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,348,Books and Related Material,1082.00,1082.00,1082.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,350,Stationery and Office Supplies,4498.00,4498.00,4498.00
LOCAL,0200,Water Fund,3,Office of Inspector General,2005,Office of Inspector General,700,Contingencies,12445.00,12445.00,8577.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,5,Salaries and Wages - on Payroll,652065.00,652065.00,622448.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,15,Schedule Salary Adjustments,746.00,746.00,1520.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,130,Postage,519.00,519.00,519.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,138,For Professional Services for Information Technology Maintenance,11612.00,11612.00,11612.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,140,For Professional and Technical Services and Other Third Party Benefit Agreements,34911.00,34911.00,33274.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,149,For Software Maintenance and Licensing,13432.00,13432.00,13432.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,154,For the Rental and Maintenance of Data Processing  Office Automation and Data Communications Hardware,9599.00,9599.00,9599.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,157,Rental of Equipment and Services,9359.00,9359.00,9359.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,159,Lease Purchase Agreements for Equipment and Machinery,1917.00,1917.00,1917.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,162,Repair/Maintenance of Equipment,54.00,54.00,54.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,166,Dues  Subscriptions and Memberships,1611.00,1611.00,1611.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,169,Technical Meeting Costs,11530.00,11530.00,11530.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,181,Mobile Communication Services,4061.00,4061.00,4061.00
LOCAL,0100,Corporate Fund,15,City Council,2010,Committee on Finance,350,Stationery and Office Supplies,45000.00,45000.00,45000.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,189,Telephone - Non-Centrex Billings,19856.00,19856.00,19856.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,245,Reimbursement to Travelers,558.00,558.00,558.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,270,Local Transportation,1615.00,1615.00,1615.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,320,Gasoline,180.00,180.00,180.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,340,Material and Supplies,1291.00,1291.00,1291.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,348,Books and Related Material,1082.00,1082.00,1082.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,350,Stationery and Office Supplies,8759.00,8759.00,8759.00
LOCAL,0314,Sewer Fund,3,Office of Inspector General,2005,Office of Inspector General,700,Contingencies,26182.00,26182.00,26182.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,5,Salaries and Wages - on Payroll,0.00,0.00,209268.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,15,Schedule Salary Adjustments,0.00,0.00,2720.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,130,Postage,0.00,0.00,100.00
LOCAL,0610,Chicago Midway Airport Fund,3,Office of Inspector General,2005,Office of Inspector General,138,For Professional Services for Information Technology Maintenance,0.00,0.00,200.00
