year,functional_category,department_number,appropriation_account,fund_type,fund_code,amount
2011,Finance & Administration,05,9667,CDBG,0K37,-38582.0
2011,Finance & Administration,06,0005,GRANTS,0045,555577.0
2011,Finance & Administration,06,0005,GRANTS,0562,168944.0
2011,Finance & Administration,06,0005,GRANTS,0566,85907.0
2011,Finance & Administration,06,0005,GRANTS,0847,402292.0
2011,Finance & Administration,06,0005,GRANTS,0H90,79192.0
2011,Finance & Administration,06,0005,LOCAL,0100,7265291.0
2011,Finance & Administration,06,0015,GRANTS,0045,1614.0
2011,Finance & Administration,06,0015,GRANTS,0562,279.0
2011,Finance & Administration,06,0015,LOCAL,0100,11259.0
2011,Finance & Administration,06,0030,GRANTS,0045,-16013.0
2011,Finance & Administration,06,0030,GRANTS,0562,-7003.0
2011,Finance & Administration,06,0030,GRANTS,0566,-8065.0
2011,Finance & Administration,06,0030,GRANTS,0847,-10335.0
2011,Finance & Administration,06,0030,LOCAL,0100,-588797.0
2011,Finance & Administration,06,0039,LOCAL,0100,30300.0
2011,Finance & Administration,06,0044,GRANTS,0045,203239.0
2011,Finance & Administration,06,0044,GRANTS,0562,61803.0
2011,Finance & Administration,06,0044,GRANTS,0566,31426.0
2011,Finance & Administration,06,0044,GRANTS,0847,152881.0
2011,Finance & Administration,06,0044,GRANTS,0H90,28970.0
2011,Finance & Administration,06,0130,LOCAL,0100,2000.0
2011,Finance & Administration,06,0138,GRANTS,0045,819357.0
2011,Finance & Administration,06,0138,LOCAL,0100,6689735.0
2011,Finance & Administration,06,0138,LOCAL,0200,1166000.0
2011,Finance & Administration,06,0139,LOCAL,0200,200000.0
2011,Finance & Administration,06,0140,GRANTS,0792,566000.0
2011,Finance & Administration,06,0140,GRANTS,0P52,70000.0
2011,Finance & Administration,06,0140,GRANTS,0P58,384000.0
2011,Finance & Administration,06,0140,GRANTS,0P59,200000.0
2011,Finance & Administration,06,0140,GRANTS,0S04,7075000.0
2011,Finance & Administration,06,0140,GRANTS,0S60,10549000.0
2011,Finance & Administration,06,0140,GRANTS,0S61,83195000.0
2011,Finance & Administration,06,0140,GRANTS,0S62,862000.0
2011,Finance & Administration,06,0140,LOCAL,0200,3501364.0
2011,Finance & Administration,06,0149,GRANTS,0045,109800.0
2011,Finance & Administration,06,0149,LOCAL,0100,5430033.0
2011,Finance & Administration,06,0149,LOCAL,0200,13300.0
2011,Finance & Administration,06,0157,LOCAL,0100,8400.0
2011,Finance & Administration,06,0162,LOCAL,0100,464585.0
2011,Finance & Administration,06,0166,LOCAL,0100,29060.0
2011,Finance & Administration,06,0169,LOCAL,0100,60300.0
2011,Finance & Administration,06,0181,GRANTS,0045,6000.0
2011,Finance & Administration,06,0181,LOCAL,0100,41760.0
2011,Finance & Administration,06,0186,LOCAL,0100,7400.0
2011,Finance & Administration,06,0190,LOCAL,0100,65000.0
2011,Finance & Administration,06,0196,LOCAL,0100,962239.0
2011,Finance & Administration,06,0197,LOCAL,0100,24000.0
2011,Finance & Administration,06,0245,LOCAL,0100,5000.0
2011,Finance & Administration,06,0270,LOCAL,0100,2500.0
2011,Finance & Administration,06,0340,GRANTS,0045,1500.0
2011,Finance & Administration,06,0340,LOCAL,0100,19300.0
2011,Finance & Administration,06,0348,LOCAL,0100,3000.0
2011,Finance & Administration,06,0350,GRANTS,0045,2500.0
2011,Finance & Administration,06,0350,LOCAL,0100,11500.0
2011,Finance & Administration,06,0446,LOCAL,0100,20000.0
2011,Legislative & Elections,15,0000,LOCAL,0100,87948.0
2011,Legislative & Elections,15,0000,LOCAL,0100,90014.0
2011,Legislative & Elections,15,0000,LOCAL,0100,90670.0
2011,Legislative & Elections,15,0000,LOCAL,0100,91098.0
2011,Legislative & Elections,15,0000,LOCAL,0100,107843.0
2011,Legislative & Elections,15,0000,LOCAL,0100,108272.0
2011,Legislative & Elections,15,0000,LOCAL,0100,114635.0
2011,Legislative & Elections,15,0000,LOCAL,0100,115819.0
2011,Legislative & Elections,15,0000,LOCAL,0100,122081.0
2011,Legislative & Elections,15,0000,LOCAL,0100,129289.0
2011,Legislative & Elections,15,0000,LOCAL,0100,172960.0
2011,Legislative & Elections,15,0000,LOCAL,0100,202406.0
2011,Legislative & Elections,15,0000,LOCAL,0100,210609.0
2011,Legislative & Elections,15,0000,LOCAL,0100,305134.0
2011,Legislative & Elections,15,0000,LOCAL,0100,371209.0
2011,Legislative & Elections,15,0000,LOCAL,0100,508750.0
2011,Legislative & Elections,15,0000,LOCAL,0300,346765.0
2011,Legislative & Elections,15,0000,LOCAL,0300,443054.0
2011,Legislative & Elections,15,0000,LOCAL,0355,140326.0
2011,Legislative & Elections,15,0005,LOCAL,0100,1672704.0
2011,Legislative & Elections,15,0005,LOCAL,0100,6106997.0
2011,Legislative & Elections,15,0017,LOCAL,0100,8824200.0
2011,Legislative & Elections,15,0030,LOCAL,0100,-870881.0
2011,Legislative & Elections,15,0030,LOCAL,0100,-92523.0
2011,Legislative & Elections,15,0039,LOCAL,0100,140000.0
2011,Legislative & Elections,15,0100,LOCAL,0100,200.0
2011,Legislative & Elections,15,0100,LOCAL,0100,200.0
2011,Legislative & Elections,15,0100,LOCAL,0100,200.0
2011,Legislative & Elections,15,0100,LOCAL,0100,1000.0
2011,Legislative & Elections,15,0100,LOCAL,0100,1000.0
2011,Legislative & Elections,15,0100,LOCAL,0100,1500.0
2011,Legislative & Elections,15,0100,LOCAL,0100,1550.0
2011,Legislative & Elections,15,0100,LOCAL,0100,2000.0
2011,Legislative & Elections,15,0100,LOCAL,0100,2500.0
2011,Legislative & Elections,15,0100,LOCAL,0100,3000.0
2011,Legislative & Elections,15,0100,LOCAL,0100,5300.0
2011,Legislative & Elections,15,0100,LOCAL,0100,15000.0
2011,Legislative & Elections,15,0100,LOCAL,0100,24000.0
2011,Legislative & Elections,15,0100,LOCAL,0355,20394.0
2011,Legislative & Elections,15,0130,LOCAL,0100,20000.0
2011,Legislative & Elections,15,0140,LOCAL,0100,20000.0
2011,Legislative & Elections,15,0140,LOCAL,0100,100000.0
2011,Legislative & Elections,15,0143,LOCAL,0100,20000.0
2011,Legislative & Elections,15,0157,LOCAL,0100,65000.0
2011,Legislative & Elections,15,0166,LOCAL,0100,2000.0
2011,Legislative & Elections,15,0169,LOCAL,0100,5000.0
2011,Legislative & Elections,15,0176,LOCAL,0100,1500.0
2011,Legislative & Elections,15,0181,LOCAL,0100,1540.0
2011,Legislative & Elections,15,0190,LOCAL,0100,23000.0
2011,Legislative & Elections,15,0190,LOCAL,0100,85000.0
2011,Legislative & Elections,15,0197,LOCAL,0100,4800.0
2011,Legislative & Elections,15,0197,LOCAL,0100,6500.0
2011,Legislative & Elections,15,0229,LOCAL,0100,10000.0
2011,Legislative & Elections,15,0245,LOCAL,0100,6000.0
2011,Legislative & Elections,15,0300,LOCAL,0100,300.0
2011,Legislative & Elections,15,0300,LOCAL,0100,400.0
2011,Legislative & Elections,15,0300,LOCAL,0100,500.0
2011,Legislative & Elections,15,0300,LOCAL,0100,500.0
2011,Legislative & Elections,15,0300,LOCAL,0100,500.0
2011,Legislative & Elections,15,0300,LOCAL,0100,500.0
2011,Legislative & Elections,15,0300,LOCAL,0100,800.0
2011,Legislative & Elections,15,0300,LOCAL,0100,1000.0
2011,Legislative & Elections,15,0300,LOCAL,0100,1000.0
2011,Legislative & Elections,15,0300,LOCAL,0100,1500.0
2011,Legislative & Elections,15,0300,LOCAL,0100,4000.0
2011,Legislative & Elections,15,0300,LOCAL,0100,4000.0
2011,Legislative & Elections,15,0300,LOCAL,0100,12000.0
2011,Legislative & Elections,15,0300,LOCAL,0100,94700.0
2011,Legislative & Elections,15,0300,LOCAL,0300,2250.0
2011,Legislative & Elections,15,0300,LOCAL,0355,2000.0
2011,Legislative & Elections,15,0340,LOCAL,0100,3500.0
2011,Legislative & Elections,15,0348,LOCAL,0100,3000.0
2011,Legislative & Elections,15,0350,LOCAL,0100,45000.0
2011,Legislative & Elections,15,0400,LOCAL,0100,3535.0
2011,Legislative & Elections,15,0400,LOCAL,0100,9500.0
2011,Legislative & Elections,15,0700,LOCAL,0100,100.0
2011,Legislative & Elections,15,0700,LOCAL,0100,500.0
2011,Legislative & Elections,15,0700,LOCAL,0100,500.0
2011,Legislative & Elections,15,0700,LOCAL,0100,500.0
2011,Legislative & Elections,15,0700,LOCAL,0100,750.0
2011,Legislative & Elections,15,0700,LOCAL,0100,1000.0
2011,Legislative & Elections,15,0700,LOCAL,0100,1500.0
2011,Legislative & Elections,15,0700,LOCAL,0100,2000.0
2011,Legislative & Elections,15,0700,LOCAL,0100,2150.0
2011,Legislative & Elections,15,0700,LOCAL,0100,4000.0
2011,Legislative & Elections,15,0700,LOCAL,0100,15000.0
2011,Legislative & Elections,15,0700,LOCAL,0100,48000.0
2011,Legislative & Elections,15,0700,LOCAL,0355,2000.0
2011,Legislative & Elections,15,0982,LOCAL,0100,1000.0
2011,Legislative & Elections,15,9000,LOCAL,0300,30000.0
2011,Legislative & Elections,15,9001,LOCAL,0100,1326000.0
2011,Legislative & Elections,15,9005,LOCAL,0100,100000.0
2011,Legislative & Elections,15,9006,LOCAL,0100,50000.0
2011,Legislative & Elections,15,9008,LOCAL,0100,3664000.0
2011,Legislative & Elections,15,9010,LOCAL,0100,100000.0
2011,Legislative & Elections,15,9010,LOCAL,0100,107072.0
2011,Legislative & Elections,15,9071,LOCAL,0100,114232.0
2011,Legislative & Elections,15,9072,LOCAL,0100,4000.0
2011,Legislative & Elections,15,9073,LOCAL,0100,50000.0
2011,City Development,23,0005,GRANTS,0868,278594.0
2011,City Development,23,0005,LOCAL,0100,64567.0
2011,City Development,23,0005,LOCAL,0355,2266670.0
2011,City Development,23,0005,LOCAL,0355,3487717.0
2011,City Development,23,0015,LOCAL,0100,910.0
2011,City Development,23,0015,LOCAL,0355,18603.0
2011,City Development,23,0015,LOCAL,0355,19429.0
2011,City Development,23,0030,GRANTS,0868,-38530.0
2011,City Development,23,0030,LOCAL,0100,-6124.0
2011,City Development,23,0030,LOCAL,0355,-313728.0
2011,City Development,23,0030,LOCAL,0355,-263371.0
2011,City Development,23,0039,LOCAL,0355,45000.0
2011,City Development,23,0044,GRANTS,0868,150139.0
2011,City Development,23,0123,GRANTS,0213,38000.0
2011,City Development,23,0123,GRANTS,0674,200000.0
2011,City Development,23,0123,LOCAL,0355,31500.0
2011,City Development,23,0125,LOCAL,0355,23500.0
2011,City Development,23,0130,LOCAL,0355,39181.0
2011,City Development,23,0135,LOCAL,0355,484200.0
2011,City Development,23,0140,GRANTS,0213,50000.0
2011,City Development,23,0140,GRANTS,0589,1000000.0
2011,City Development,23,0140,GRANTS,0674,100000.0
2011,City Development,23,0140,GRANTS,0865,250000.0
2011,City Development,23,0140,GRANTS,0896,1000000.0
2011,City Development,23,0140,GRANTS,0P56,100000.0
2011,City Development,23,0140,LOCAL,0355,587000.0
2011,City Development,23,0140,LOCAL,0355,1990676.0
